City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,huarmey,-10.0681,-78.1522,20.38,84,99,4.54,PE,1702256523
84,whitehorse,60.7161,-135.0538,-13.44,83,100,1.54,CA,1702256523
85,el granada,37.5027,-122.4694,14.41,69,0,0.45,US,1702256524
86,port mathurin,-19.6833,63.4167,26.06,76,100,3.69,MU,1702256524
87,mount isa,-20.7333,139.5,28.87,42,9,5.66,AU,1702256459
88,gavrilov posad,56.5597,40.1175,-10.31,94,100,5.58,RU,1702256524
89,qaqortoq,60.7167,-46.0333,-10.05,74,10,2.0,GL,1702256475
90,kibaya,-5.3,36.5667,16.29,97,100,1.47,TZ,1702256525
91,hauterive,46.0901,3.4459,15.42,91,100,3.93,FR,1702256525
92,utrik,11.2278,169.8474,27.16,77,100,8.79,MH,1702256525
93,pacific grove,36.6177,-121.9166,16.72,63,0,4.02,US,1702256407
94,auki,-8.7676,160.7034,29.32,69,38,2.15,SB,1702256270
95,minas de marcona,-15.2119,-75.1103,16.1,77,92,4.56,PE,1702256526
96,port elizabeth,-33.918,25.5701,15.05,92,0,1.54,ZA,1702256526
97,qamdo,31.1667,97.2333,-9.22,66,2,1.95,CN,1702256526
98,imbituba,-28.24,-48.6703,19.83,95,100,6.78,BR,1702256507
99,siniscola,40.5719,9.6922,12.75,69,96,3.97,IT,1702256527
100,dhidhdhoo,6.8833,73.1,28.11,78,100,4.68,MV,1702256527
101,dul'durga,50.6761,113.5931,-28.62,94,7,0.88,RU,1702256527
102,wendelstein,49.3536,11.1483,7.98,81,100,5.14,DE,1702256527
103,sur,22.5667,59.5289,22.13,54,28,1.12,OM,1702256527
104,anadyr,64.75,177.4833,-25.56,75,20,6.0,RU,1702256410
105,prince rupert,54.3161,-130.3201,5.83,79,0,7.2,CA,1702256528
106,hadibu,12.65,54.0333,24.3,72,13,5.03,YE,1702256528
107,lospalos,-8.5186,127.0025,29.2,61,98,0.71,TL,1702256528
108,madimba,-10.4,40.3333,25.62,88,68,1.39,TZ,1702256529
109,wellington,-41.2866,174.7756,19.21,55,15,10.8,NZ,1702256408
110,port alfred,-33.5906,26.891,16.77,94,45,1.45,ZA,1702256529
111,cabinda,-5.55,12.2,28.08,83,100,1.03,AO,1702256529
112,lebu,-37.6167,-73.65,12.91,87,100,8.61,CL,1702256530
113,la passe,45.5549,-0.8967,15.13,88,100,10.74,FR,1702256530
114,arraial do cabo,-22.9661,-42.0278,23.13,79,100,4.45,BR,1702256530
115,vila franca do campo,37.7167,-25.4333,18.27,99,100,4.65,PT,1702256530
116,ola,59.5833,151.2833,-2.14,81,100,8.93,RU,1702256530
117,pimentel,-6.8367,-79.9342,22.16,73,0,8.75,PE,1702256273
118,hamilton,39.1834,-84.5333,1.69,80,100,4.02,US,1702256338
119,vila velha,-20.3297,-40.2925,24.97,82,75,1.54,BR,1702256531
120,vilyuchinsk,52.9306,158.4028,1.15,93,100,2.03,RU,1702256276
121,tiksi,71.6872,128.8694,-25.63,100,100,2.16,RU,1702256532
122,iskateley,67.6803,53.1512,-22.77,91,100,4.92,RU,1702256491
123,susuman,62.7833,148.1667,-22.23,99,86,2.68,RU,1702256532
124,yarmouth,41.7057,-70.2286,16.26,96,100,6.26,US,1702256382
125,arzgir,45.3728,44.2206,-0.74,91,100,6.39,RU,1702256533
126,mariental,-24.6333,17.9667,20.0,17,0,4.35,NA,1702256533
127,mejit,10.2753,170.8646,27.22,74,100,8.92,MH,1702256533
128,sisimiut,66.9395,-53.6735,-3.96,81,100,5.15,GL,1702256534
129,sinabang,2.4803,96.3801,25.58,87,100,1.38,ID,1702256315
130,east london,-33.0153,27.9116,16.28,76,100,1.93,ZA,1702256534
131,punta arenas,-53.15,-70.9167,9.06,61,0,3.09,CL,1702256523
132,tsiombe,-25.3,45.4833,23.73,88,100,1.13,MG,1702256535
133,hermanus,-34.4187,19.2345,15.98,81,0,4.02,ZA,1702256448
134,lagunas,-5.2269,-75.6753,25.24,84,30,1.36,PE,1702256535
135,cozumel,20.5083,-86.9458,22.75,96,100,6.71,MX,1702256414
136,smithers,54.7804,-127.1743,-4.82,93,75,1.03,CA,1702256536
137,gramoteino,54.5368,86.3839,-34.13,100,45,0.04,RU,1702256536
138,saint-francois,46.4154,3.9054,14.69,84,100,4.12,FR,1702256536
139,malabo,3.75,8.7833,24.92,100,20,1.03,GQ,1702256536
140,longyearbyen,78.2186,15.6401,-0.09,74,75,4.63,SJ,1702256510
141,port saint john's,-31.6229,29.5448,18.11,86,100,0.73,ZA,1702256537
142,puerto deseado,-47.7503,-65.8938,17.45,52,99,4.68,AR,1702256537
143,lorengau,-2.0226,147.2712,29.55,74,100,6.5,PG,1702256538
144,yellowknife,62.456,-114.3525,-11.71,85,100,8.75,CA,1702256493
145,margaret river,-33.95,115.0667,22.31,31,0,3.6,AU,1702256538
146,neryungri,56.6709,124.6491,-31.46,94,100,3.3,RU,1702256539
147,west island,-12.1568,96.8225,26.99,74,75,4.63,CC,1702256539
148,princeville,45.7668,-61.2985,7.61,96,100,4.63,CA,1702256539
149,tanaina,61.6269,-149.4281,-3.55,65,100,14.4,US,1702256540
150,madalena,41.2162,-8.3345,15.3,92,100,2.28,PT,1702256540
151,san patricio,28.017,-97.5169,13.8,27,0,2.16,US,1702256540
152,rawah,34.4816,41.9093,15.01,67,100,2.84,IQ,1702256541
153,jamestown,42.097,-79.2353,4.77,90,100,3.6,US,1702256541
154,saipan,15.1355,145.701,27.75,77,13,5.4,MP,1702256541
155,lagunillas,10.1301,-71.2595,27.83,76,1,0.95,VE,1702256541
156,wuchuan,21.4571,110.7659,25.54,74,62,4.27,CN,1702256542
157,afaahiti,-17.75,-149.2833,29.93,82,76,11.11,PF,1702256542
158,boma,7.0805,-2.1697,21.05,57,55,0.71,GH,1702256542
159,mount pearl,47.5166,-52.7813,-1.49,92,0,3.6,CA,1702256543
160,saint croix,17.7397,-64.7388,25.53,80,5,3.58,VI,1702256543
161,kenora,49.8167,-94.4337,-6.46,93,100,3.09,CA,1702256531
162,sorong,-0.8833,131.25,28.74,72,65,1.88,ID,1702256543
163,isafjordur,66.0755,-23.124,-3.33,94,95,2.87,IS,1702256544
164,korla,41.7597,86.1469,-4.31,63,13,0.85,CN,1702256544
165,koulamoutou,-1.1303,12.4736,22.15,100,100,0.68,GA,1702256545
166,price,39.5994,-110.8107,-1.6,53,100,0.56,US,1702256545
167,trzcianka,53.0406,16.4563,2.84,96,100,4.04,PL,1702256139
168,nasugbu,14.1,120.6833,28.57,69,81,4.2,PH,1702256546
169,serowe,-22.3833,26.7167,16.67,96,100,4.16,BW,1702256546
170,olonkinbyen,70.9221,-8.7187,-3.76,61,100,3.9,SJ,1702256546
171,vadso,70.0744,29.7487,-10.91,92,100,10.29,NO,1702256547
172,kill devil hills,36.0307,-75.676,18.88,98,75,6.69,US,1702256547
173,dudinka,69.4058,86.1778,-25.77,97,100,5.36,RU,1702256524
174,kirakira,-10.4544,161.9205,27.66,82,92,0.62,SB,1702256547
175,new norfolk,-42.7826,147.0587,23.17,25,18,1.2,AU,1702256548
176,talodi,10.6325,30.3797,25.18,22,54,2.45,SD,1702256548
177,katsuren-haebaru,26.3369,127.8719,25.01,80,75,2.06,JP,1702256548
178,toliara,-23.35,43.6667,24.98,75,0,2.38,MG,1702256305
179,boyalik,41.2634,28.6314,6.51,90,100,0.63,TR,1702256549
180,rio grande,-32.035,-52.0986,20.06,88,97,8.14,BR,1702256421
181,lihue,21.9789,-159.3672,26.92,80,0,3.51,US,1702256549
182,weno,7.4515,151.8468,30.97,70,75,3.6,FM,1702256550
183,tambacounda,13.7539,-13.7586,25.22,14,100,2.92,SN,1702256550
184,bovalino,38.149,16.174,15.75,71,7,7.15,IT,1702256551
185,beni mellal,32.3373,-6.3498,18.26,36,21,1.21,MA,1702256551
186,nchelenge,-9.3451,28.734,21.93,88,100,2.38,ZM,1702256551
187,nandaime,11.757,-86.0529,27.48,85,21,3.79,NI,1702256551
188,nagqu,31.5,92.0,-14.07,47,0,1.78,CN,1702256552
189,kenai,60.5544,-151.2583,-4.36,92,100,7.72,US,1702256542
190,connell,46.6635,-118.8611,3.89,99,76,0.74,US,1702256552
191,saint-philippe,-21.3585,55.7679,23.77,85,50,5.19,RE,1702256552
192,manokwari,-0.8667,134.0833,28.06,73,100,2.31,ID,1702256553
193,talusan,7.4267,122.8103,27.37,77,59,1.6,PH,1702256553
194,badger,64.8,-147.5333,-23.69,76,0,0.0,US,1702256409
195,agnibilekrou,7.1344,-3.2047,21.43,70,100,0.84,CI,1702256554
196,vorgashor,67.5833,63.95,-24.95,100,100,3.55,RU,1702256554
197,patos,-7.0244,-37.28,27.08,55,0,7.0,BR,1702256554
198,bandon,51.7469,-8.7425,8.77,87,3,5.35,IE,1702256554
199,laguna,38.421,-121.4238,13.13,64,0,2.06,US,1702256472
200,tadine,-21.55,167.8833,25.28,57,91,7.45,NC,1702256555
201,qaisumah,28.3112,46.1273,14.98,38,0,2.06,SA,1702256542
202,ribeira grande,38.5167,-28.7,17.1,75,100,7.6,PT,1702256555
203,happy valley-goose bay,53.3168,-60.3315,3.17,65,100,7.2,CA,1702256556
204,watford city,47.8022,-103.2832,-5.08,100,0,2.06,US,1702256556
205,kapuskasing,49.4169,-82.4331,-5.95,86,100,5.14,CA,1702256361
206,valdivia,-39.8142,-73.2459,18.05,85,100,0.37,CL,1702256415
207,san andres,12.5847,-81.7006,29.01,84,20,5.14,CO,1702256556
208,gobabis,-22.45,18.9667,19.82,40,0,3.85,NA,1702256557
209,jwaneng,-24.6004,24.7303,17.78,82,100,4.76,BW,1702256557
210,manta,-0.95,-80.7333,26.88,69,40,5.14,EC,1702256557
211,sulak,43.2734,47.5146,3.96,80,100,6.03,RU,1702256557
212,ad dabbah,18.05,30.95,21.0,20,80,3.7,SD,1702256558
213,'ain el hadjar,34.7585,0.1453,5.63,48,0,3.43,DZ,1702256558
214,morehead city,34.7229,-76.726,20.03,88,100,7.72,US,1702256405
215,arti,56.4234,58.5328,-27.03,92,6,2.95,RU,1702256558
216,pasni,25.2631,63.471,22.76,28,22,3.26,PK,1702256559
217,amga,60.8953,131.9608,-27.29,91,100,3.68,RU,1702256559
218,rezh,57.37,61.4043,-32.91,98,6,2.09,RU,1702256560
219,carnarvon,-24.8667,113.6333,29.57,24,0,9.07,AU,1702256560
220,cidreira,-30.1811,-50.2056,19.98,94,100,8.5,BR,1702256559
221,sittwe,20.15,92.9,19.41,84,1,2.53,MM,1702256561
222,lucerne valley,34.4439,-116.9678,17.05,24,91,0.58,US,1702256523
223,nikolayevsk-on-amure,53.1406,140.73,-20.44,90,100,6.15,RU,1702256561
224,simanggang,1.2472,111.4528,24.99,94,20,1.54,MY,1702256562
225,nabire,-3.3667,135.4833,30.28,66,74,1.12,ID,1702256562
226,uturoa,-16.7333,-151.4333,27.05,80,22,10.09,PF,1702256515
227,sitka,57.0531,-135.33,1.75,82,100,1.99,US,1702256543
228,heroica caborca,30.7167,-112.15,17.15,14,0,3.72,MX,1702256562
229,neftcala,39.3742,49.2472,10.8,78,78,7.78,AZ,1702256563
230,brokopondo,4.75,-55.1667,26.35,81,98,3.66,SR,1702256563
231,egilsstadir,65.2653,-14.3948,-6.05,100,100,0.51,IS,1702256563
232,howrah,22.5892,88.3103,16.0,88,0,0.0,IN,1702256531
233,sao joao da barra,-21.6403,-41.0511,23.05,80,60,2.08,BR,1702256564
234,yuzhno-kurilsk,44.0306,145.8556,0.76,76,99,6.37,RU,1702256564
235,nova vicosa,-17.8919,-39.3719,24.74,84,5,3.17,BR,1702256495
236,vilyeyka,54.4896,26.9062,-1.75,94,100,5.03,BY,1702256565
237,pisco,-13.7,-76.2167,21.03,78,0,6.17,PE,1702256265
238,sabinas,27.85,-101.1167,12.52,25,0,3.24,MX,1702256453
239,chagoda,59.164,35.3285,-10.39,94,100,3.34,RU,1702256565
240,dunedin,-45.8742,170.5036,16.62,59,33,3.03,NZ,1702256566
241,tshabong,-26.05,22.45,20.11,21,4,3.53,BW,1702256566
242,changli,39.7042,119.1506,-4.1,32,100,2.97,CN,1702256566
243,diglur,18.55,77.6,17.15,68,24,1.3,IN,1702256567
244,pemba,-12.974,40.5178,26.99,83,56,3.1,MZ,1702256567
245,mossel bay,-34.1831,22.146,16.98,81,3,2.7,ZA,1702256568
246,kyzyl-mazhalyk,51.1333,90.6,-33.94,93,29,0.45,RU,1702256568
247,saudarkrokur,65.7461,-19.6394,-2.58,88,100,4.7,IS,1702256568
248,sungai penuh,-2.0833,101.3833,21.06,90,77,0.27,ID,1702256569
249,vanimo,-2.6741,141.3028,27.23,81,98,4.02,PG,1702256453
250,revda,56.801,59.9303,-34.49,100,80,1.05,RU,1702256569
251,machico,32.7,-16.7667,20.95,84,75,1.54,PT,1702256570
252,rosarito,32.3333,-117.0333,21.24,52,97,5.09,MX,1702256414
253,talcahuano,-36.7167,-73.1167,14.82,72,0,6.17,CL,1702256416
254,tindouf,27.6711,-8.1474,14.25,33,0,2.06,DZ,1702256571
255,porto novo,6.4965,2.6036,27.9,83,0,1.86,BJ,1702256572
256,hengchun,22.0042,120.7439,26.86,79,14,4.28,TW,1702256536
257,businga,3.3333,20.8833,22.27,85,99,0.59,CD,1702256572
258,uliastay,47.7417,96.8444,-23.57,79,3,2.9,MN,1702256572
259,luganville,-15.5333,167.1667,26.88,65,100,5.01,VU,1702256573
260,elliot lake,46.3834,-82.6331,-3.82,84,99,2.81,CA,1702256568
261,tongshan,34.1805,117.1571,0.78,94,100,4.34,CN,1702256573
262,talnakh,69.4865,88.3972,-26.0,99,100,4.43,RU,1702256574
263,aykhal,66.0,111.5,-27.66,99,100,2.33,RU,1702256574
264,lompoc,34.6391,-120.4579,19.45,56,0,2.06,US,1702256574
265,nemuro,43.3236,145.575,0.45,48,28,6.5,JP,1702256574
266,ma'an,26.9775,110.7211,11.17,86,100,4.52,CN,1702256575
267,taltal,-25.4,-70.4833,16.08,84,98,0.7,CL,1702256421
268,kone,-21.0595,164.8658,31.0,39,100,2.35,NC,1702256525
269,malvan,16.0667,73.4667,24.79,66,37,2.55,IN,1702256576
270,beyneu,45.3167,55.2,-6.56,47,79,9.68,KZ,1702256576
271,thinadhoo,0.5333,72.9333,27.82,76,90,2.01,MV,1702256576
272,atbasar,51.8,68.3333,-30.35,97,62,3.65,KZ,1702256577
273,sakakah,29.9697,40.2064,13.76,49,100,4.46,SA,1702256577
274,bikenibeu village,1.3673,173.1241,28.98,84,75,2.57,KI,1702256578
275,tarusa,54.7233,37.1767,-7.61,95,100,4.51,RU,1702256578
276,miri,4.4148,114.0089,25.08,100,40,1.03,MY,1702256578
277,mhangura,-16.8939,30.1683,23.61,43,81,2.29,ZW,1702256579
278,sanandaj,35.3144,46.9923,0.01,75,0,0.0,IR,1702256289
279,paita,-5.0892,-81.1144,21.76,79,2,7.02,PE,1702256579
280,kolonia town,6.964,158.206,32.06,70,40,5.14,FM,1702256580
281,alice springs,-23.7,133.8833,16.75,45,100,5.66,AU,1702256580
282,picos,-7.0769,-41.4669,27.69,56,76,1.09,BR,1702256580
283,sitia,35.2,26.0986,13.32,76,100,2.05,GR,1702256580
284,nouadhibou,20.931,-17.0347,21.99,53,5,5.14,MR,1702256580
285,levuka,50.1834,-105.4011,-4.1,76,12,3.01,CA,1702256581
286,birjand,32.8663,59.2211,0.26,47,0,2.06,IR,1702256581
287,anna regina,7.2644,-58.5077,25.7,85,0,2.73,GY,1702256581
288,puyang chengguanzhen,35.7028,115.0053,-3.72,92,100,6.56,CN,1702256582
289,khabez,44.0434,41.772,3.32,76,14,1.44,RU,1702256582
290,klyuchi,52.2667,79.1667,-21.73,89,17,2.74,RU,1702256583
291,rehoboth,-23.3167,17.0833,20.39,11,0,4.39,NA,1702256583
292,kurumkan,54.3,110.3,-26.6,90,28,1.79,RU,1702256583
293,berezovyy,51.6667,135.7,-22.07,56,4,3.48,RU,1702256584
294,magway,20.15,94.9167,21.22,80,13,2.26,MM,1702256584
295,puerto cortez,15.8333,-87.95,26.23,88,8,2.75,HN,1702256584
296,dungarpur,23.8333,73.7167,16.72,48,0,2.2,IN,1702256584
297,jaciara,-15.9653,-54.9683,23.69,81,100,0.46,BR,1702256585
298,ambon,-3.6954,128.1814,30.08,70,40,4.12,ID,1702256585
299,inhambane,-23.865,35.3833,25.62,92,70,4.72,MZ,1702256585
300,hawaiian paradise park,19.5933,-154.9731,26.13,94,100,1.54,US,1702256586
301,nha trang,12.25,109.1833,26.0,80,88,2.55,VN,1702256586
302,quirinopolis,-18.4483,-50.4517,24.98,73,100,1.33,BR,1702256586
303,taperoa,-7.2075,-36.8267,23.56,64,0,6.61,BR,1702256586
304,walvis bay,-22.9575,14.5053,16.72,77,47,3.6,NA,1702256587
305,narathiwat,6.3333,101.75,27.84,86,15,1.17,TH,1702256587
306,polyarnyy,69.1989,33.4478,-13.01,89,83,7.3,RU,1702256494
307,richards bay,-28.783,32.0377,19.2,93,100,4.3,ZA,1702256587
308,duba,27.3513,35.6901,24.03,58,100,1.1,SA,1702256588
309,road town,18.4167,-64.6167,27.05,74,40,5.14,VG,1702256588
310,stornoway,58.2093,-6.3865,7.98,86,75,3.6,GB,1702256588
311,krasnovishersk,60.4078,57.082,-31.61,100,63,1.08,RU,1702256588
312,nema,57.5067,50.5011,-24.18,95,100,3.1,RU,1702256589
313,kingston,17.997,-76.7936,28.53,75,20,7.72,JM,1702256409
314,noumea,-22.2763,166.4572,29.99,99,100,9.53,NC,1702256139
315,iaciara,-14.0958,-46.6317,23.49,71,72,0.92,BR,1702256590
316,cururupu,-1.8283,-44.8683,25.75,82,100,2.21,BR,1702256590
317,kourou,5.1552,-52.6478,26.03,89,77,2.69,GF,1702256525
318,maceio,-9.6658,-35.7353,23.69,100,0,1.03,BR,1702256389
319,tura,25.5198,90.2201,13.99,62,0,1.43,IN,1702256507
320,kaa-khem,51.6833,94.7333,-34.22,98,99,0.65,RU,1702256591
321,gornji milanovac,44.0333,20.45,-0.95,96,93,1.31,RS,1702256591
322,cedar rapids,42.0083,-91.6441,-2.89,83,0,1.54,US,1702256539
323,sangkhla buri,15.1555,98.4536,24.18,87,39,0.23,TH,1702256591
324,"poblacion, san felipe",14.5665,121.0308,30.98,69,20,3.58,PH,1702256592
325,igarka,67.4667,86.5833,-29.94,98,100,2.45,RU,1702256592
326,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,95,75,6.71,RU,1702256593
327,al mutayrifi,25.4788,49.5576,15.19,22,100,1.94,SA,1702256593
328,majuro,7.0897,171.3803,29.98,74,75,8.23,MH,1702256373
329,piranhas,-16.4269,-51.8222,24.02,77,100,3.53,BR,1702256594
330,saacow,1.6279,42.4407,24.85,81,6,3.38,SO,1702256594
331,pizarro,4.9533,-77.366,26.27,91,100,2.66,CO,1702256515
332,la punta,-33.1837,-66.3127,24.05,35,8,7.0,AR,1702256595
333,gadzhiyevo,69.2551,33.3362,-13.9,91,88,7.06,RU,1702256595
334,east ballina,-28.8667,153.5833,29.33,58,62,4.24,AU,1702256596
335,natal,-5.795,-35.2094,27.12,74,20,3.09,BR,1702256403
336,la ronge,55.1001,-105.2842,-3.86,74,100,3.6,CA,1702256597
337,boa vista,2.8197,-60.6733,29.99,58,40,3.6,BR,1702256324
338,"laikit, laikit ii (dimembe)",1.4792,124.9735,30.47,58,20,2.06,ID,1702256598
339,ebon,4.582,168.6964,28.06,80,11,4.84,MH,1702256598
340,beloyarskiy,63.7119,66.6722,-35.0,100,44,1.34,RU,1702256598
341,taunsa,30.7048,70.6505,13.08,29,0,0.81,PK,1702256599
342,pangody,65.85,74.4859,-32.03,97,100,3.83,RU,1702256599
343,novyy urgal,51.0736,132.5642,-26.05,82,10,1.4,RU,1702256599
344,narvik,68.4384,17.4272,-4.33,76,99,2.4,NO,1702256600
345,praia da vitoria,38.7333,-27.0667,17.64,82,0,6.08,PT,1702256600
346,gaiman,-43.2897,-65.4929,22.64,34,95,12.12,AR,1702256600
347,nuuk,64.1835,-51.7216,-2.66,74,75,1.54,GL,1702256601
348,reggane,26.7158,0.1714,15.18,45,0,5.37,DZ,1702256601
349,voskresenskoye,56.8381,45.4317,-17.86,85,100,4.43,RU,1702256601
350,fort bragg,35.139,-79.006,18.91,94,100,4.12,US,1702256601
351,hithadhoo,-0.6,73.0833,27.8,76,99,1.92,MV,1702256601
352,kapa'a,22.0752,-159.319,27.33,79,1,2.68,US,1702256501
353,holualoa,19.6228,-155.9522,25.99,77,40,2.57,US,1702256602
354,gidole,5.65,37.3667,15.69,58,69,1.72,ET,1702256602
355,karratha,-20.7377,116.8463,29.06,18,6,10.11,AU,1702256603
356,shakawe,-18.3667,21.85,20.77,85,100,2.75,BW,1702256603
357,shimoda,34.6667,138.95,16.17,61,100,3.7,JP,1702256604
358,harstad,68.799,16.5293,-1.58,83,88,3.85,NO,1702256604
359,torghay,49.6339,63.4981,-21.52,78,7,7.01,KZ,1702256605
360,las palmas de gran canaria,28.0997,-15.4134,24.32,68,0,1.54,ES,1702256605
361,menongue,-14.6585,17.691,20.36,62,100,2.68,AO,1702256605
362,pokhara,28.2333,83.9833,11.65,51,5,2.02,NP,1702256606
363,jayapura,-2.5333,140.7,31.66,67,80,1.65,ID,1702256606
364,igrim,63.1906,64.4162,-34.19,99,16,1.77,RU,1702256606
365,cockburn town,21.4612,-71.1419,25.98,69,40,6.69,TC,1702256606
